Date,Hour,Load,Temp,Day,Time
16,19,0,31,Weekend,Night
16,20,0,29.2,Weekend,Night
16,21,0,29.2,Weekend,Night
16,22,0,29.2,Weekend,Night
16,23,0,28.3,Weekend,Night
16,24,0,28.3,Weekend,Night
17,1,0,28.3,Weekend,Night
17,2,0,28.3,Weekend,Night
17,3,0,28.3,Weekend,Night
17,4,0,28.3,Weekend,Night
17,5,0,28.3,Weekend,Day
17,6,0,28.3,Weekend,Day
17,7,0,28.3,Weekend,Day
17,8,0,28.3,Weekend,Day
17,9,0,29.3,Weekend,Day
17,10,2.1875,30.2,Weekend,Day
17,11,13.9375,32.1,Weekend,Day
17,12,6.4375,33,Weekend,Day
17,13,3.5625,33,Weekend,Day
17,14,6.5,34,Weekend,Day
17,15,9.625,34,Weekend,Day
17,16,12.0625,34,Weekend,Day
17,17,11.5625,34,Weekend,Day
17,18,10.75,33,Weekend,Night
17,19,9.3125,32.1,Weekend,Night
17,20,8.5625,30.2,Weekend,Night
17,21,9.625,30.2,Weekend,Night
17,22,10.625,30.2,Weekend,Night
17,23,8.5,29.3,Weekend,Night
17,24,8.625,29.3,Weekend,Night
18,1,8.375,28.3,Weekday,Night
18,2,8.125,28.3,Weekday,Night
18,3,8.4375,28.3,Weekday,Night
18,4,9.4375,28.3,Weekday,Night
18,5,6.625,28.3,Weekday,Day
18,6,19.625,28.3,Weekday,Day
18,7,35.5625,28.3,Weekday,Day
18,8,47.9375,28.3,Weekday,Day
18,9,57.375,29.3,Weekday,Day
18,10,60.75,30.2,Weekday,Day
18,11,69.625,32.1,Weekday,Day
18,12,79.3125,33,Weekday,Day
18,13,86.3125,33,Weekday,Day
18,14,85.3125,34,Weekday,Day
18,15,79.6875,34,Weekday,Day
18,16,70.5,34,Weekday,Day
18,17,51.3125,34,Weekday,Day
18,18,19.4375,33,Weekday,Night
18,19,12.9375,32.1,Weekday,Night
18,20,11.1875,30.2,Weekday,Night
18,21,8.5625,30.2,Weekday,Night
18,22,10.9375,30.2,Weekday,Night
18,23,9.875,29.3,Weekday,Night
18,24,9.375,29.3,Weekday,Night
19,1,9.5625,27.9,Weekday,Night
19,2,9,27.9,Weekday,Night
19,3,7.875,27.9,Weekday,Night
19,4,9.125,27.9,Weekday,Night
19,5,9.8125,27.9,Weekday,Day
19,6,24.125,27.9,Weekday,Day
19,7,34.875,27.9,Weekday,Day
19,8,47.8125,27.9,Weekday,Day
19,9,55.4375,28.9,Weekday,Day
19,10,47.75,29.8,Weekday,Day
19,11,46.875,31.7,Weekday,Day
19,12,53.9375,32.6,Weekday,Day
19,13,63.8125,32.6,Weekday,Day
19,14,61.375,33.5,Weekday,Day
19,15,59.3125,33.5,Weekday,Day
19,16,48.3125,33.5,Weekday,Day
19,17,29.25,33.5,Weekday,Day
19,18,21.875,32.6,Weekday,Night
19,19,16.125,31.7,Weekday,Night
19,20,9.875,29.8,Weekday,Night
19,21,9.375,29.8,Weekday,Night
19,22,10.3125,29.8,Weekday,Night
19,23,8.0625,28.9,Weekday,Night
19,24,7.5,28.9,Weekday,Night
20,1,7.5,27.1,Weekday,Night
20,2,6.125,27.1,Weekday,Night
20,3,7.5625,27.1,Weekday,Night
20,4,6.25,27.1,Weekday,Night
20,5,5.8125,27.1,Weekday,Day
20,6,16.8125,27.1,Weekday,Day
20,7,22.9375,27.1,Weekday,Day
20,8,29.6875,27.1,Weekday,Day
20,9,42.3125,28,Weekday,Day
20,10,47.1875,28.9,Weekday,Day
20,11,40.0625,30.7,Weekday,Day
20,12,40.625,31.6,Weekday,Day
20,13,51.3125,31.6,Weekday,Day
20,14,50.5625,32.5,Weekday,Day
20,15,52.875,32.5,Weekday,Day
20,16,47.25,32.5,Weekday,Day
20,17,29.375,32.5,Weekday,Day
20,18,13.6875,31.6,Weekday,Night
20,19,12.0625,30.7,Weekday,Night
20,20,8.75,28.9,Weekday,Night
20,21,9.875,28.9,Weekday,Night
20,22,7.75,28.9,Weekday,Night
20,23,7.5,28,Weekday,Night
20,24,7.625,28,Weekday,Night
21,1,7.25,28.3,Weekday,Night
21,2,8.1875,28.3,Weekday,Night
21,3,7.6875,28.3,Weekday,Night
21,4,5.5,28.3,Weekday,Night
21,5,5.375,28.3,Weekday,Day
